,alpha,performance,capacity,method
0,0.3,4.7194210961216845,6.0,empirical
1,0.5,5.997595716686584,6.0,empirical
2,0.7,6.53099931871467,6.0,empirical
3,0.8,6.84529404546911,7.0,empirical
4,0.9,6.954138371225714,6.0,empirical
5,0.95,6.697049703594011,6.0,empirical
6,1.0,4.714259622663951,6.0,empirical
7,1.05,2.2188944762157727,4.0,empirical
8,1.1,2.2158452111215774,4.0,empirical
9,1.2,1.4141067649383785,3.0,empirical
10,1.3,1.1166592682954004,0.0,empirical
11,1.4,0.8937274456909967,0.0,empirical
12,1.5,0.7523945167523018,0.0,empirical
13,2.0,0.4582245596800426,0.0,empirical
14,2.5,0.4453788666328623,0.0,empirical
15,3.0,0.4713054337532353,0.0,empirical
16,3.5,0.4443339249088761,0.0,empirical
17,0.3,4.530472566707736,6.0,rewire
18,0.5,4.823861883389855,5.0,rewire
19,0.7,5.300773282413264,5.0,rewire
20,0.8,5.793759385882902,5.0,rewire
21,0.9,6.452996889333169,5.0,rewire
22,0.95,6.336867526721335,5.0,rewire
23,1.0,4.392191874883085,5.0,rewire
24,1.05,2.093947955524193,14.0,rewire
25,1.1,1.2029435208242318,8.0,rewire
26,1.2,1.2596040955847418,3.0,rewire
27,1.3,1.0363415563711864,0.0,rewire
28,1.4,0.977913074686373,0.0,rewire
29,1.5,0.8958935562539994,0.0,rewire
30,2.0,0.5147575885526741,0.0,rewire
31,2.5,0.5123190954979823,0.0,rewire
32,3.0,0.4738297588844665,0.0,rewire
33,3.5,0.3669791314908088,0.0,rewire
34,0.3,4.534545773020112,6.0,rewire
35,0.5,4.836903254439709,5.0,rewire
36,0.7,5.367029472068667,5.0,rewire
37,0.8,5.839340871890419,5.0,rewire
38,0.9,6.508772422253055,6.0,rewire
39,0.95,6.14621122670815,5.0,rewire
40,1.0,4.3940191133127176,5.0,rewire
41,1.05,2.07511288362268,14.0,rewire
42,1.1,1.2170494281048556,11.0,rewire
43,1.2,1.1487103976468385,8.0,rewire
44,1.3,1.0385743217734655,0.0,rewire
45,1.4,0.9693122930626918,0.0,rewire
46,1.5,0.8187201274980872,0.0,rewire
47,2.0,0.5434197221773645,0.0,rewire
