,alpha,performance,capacity
0,0.3,8.312413454057063,10.0
1,0.5,10.530852980383258,11.0
2,0.7,11.925415003179271,12.0
3,0.8,12.572878469322998,13.0
4,0.9,13.032474292407766,14.0
5,0.95,13.478969772736932,15.0
6,1.0,13.417058154726778,15.0
7,1.05,13.88755783132545,15.0
8,1.1,13.949238597854716,1.0
9,1.2,13.987892690971723,1.0
10,1.3,6.242634799361273,8.0
11,1.4,5.540926021788004,7.0
12,1.5,5.035117683293987,6.0
13,2.0,3.5180511982103866,5.0
14,2.5,2.9332346323389475,4.0
15,3.0,2.8572770251598536,4.0
16,3.5,2.3880207781288063,0.0
