,alpha,performance,capacity
0,0.3,7.188379265100558,9.0
1,0.5,9.358893789519632,11.0
2,0.7,10.730006907729555,11.0
3,0.8,11.700747642734928,12.0
4,0.9,12.589872666486212,13.0
5,0.95,12.525208973141757,13.0
6,1.0,13.12884916168324,14.0
7,1.05,13.122537381346994,14.0
8,1.1,13.09450756675663,14.0
9,1.2,13.431471057892551,15.0
10,1.3,13.875391565681497,15.0
11,1.4,13.961848027575318,1.0
12,1.5,13.964876131461534,1.0
13,2.0,6.072633825617549,7.0
14,2.5,4.811020087062446,5.0
15,3.0,3.4517785502252782,4.0
16,3.5,2.961963812803817,4.0
