,alpha,performance,capacity
0,0.3,6.621602888817178,8.0
1,0.5,8.186282555193145,9.0
2,0.7,9.585464335551407,10.0
3,0.8,10.372327316736822,11.0
4,0.9,11.744116844857771,12.0
5,0.95,10.828532115053783,14.0
6,1.0,11.948018901888418,12.0
7,1.05,11.942709023128499,12.0
8,1.1,11.901563345565695,14.0
9,1.2,12.544597916105163,13.0
10,1.3,13.034682267458555,14.0
11,1.4,13.180418225265084,15.0
12,1.5,13.318642840910636,15.0
13,2.0,3.3922311361365822,4.0
14,2.5,1.8778267031009483,3.0
15,3.0,1.1909427558155128,0.0
16,3.5,0.8473258935877339,0.0
