,alpha,performance,capacity
0,0.3,7.339585194101772,9.0
1,0.5,8.376081789589332,10.0
2,0.7,10.662733245632928,11.0
3,0.8,10.853768954374983,11.0
4,0.9,11.86606479731496,12.0
5,0.95,11.934877469407901,12.0
6,1.0,11.955545818660468,12.0
7,1.05,12.608917796120064,13.0
8,1.1,12.595371484927599,13.0
9,1.2,12.537372722776908,13.0
10,1.3,12.953637651275985,14.0
11,1.4,12.865525425184618,14.0
12,1.5,13.312704547168934,15.0
13,2.0,2.5853882691655454,4.0
14,2.5,1.4581492297692444,14.0
15,3.0,1.571752185216304,4.0
16,3.5,1.3452880210310498,4.0
