,alpha,performance,capacity
0,0.3,0.3980427455458776,9.0
1,0.5,0.4588481911038041,10.0
2,0.7,0.5825311825044334,11.0
3,0.8,0.5920076070895779,11.0
4,0.9,0.6477819984263047,12.0
5,0.95,0.6519428326188164,12.0
6,1.0,0.6542640814355236,12.0
7,1.05,0.6896738242877055,13.0
8,1.1,0.6881116186971865,13.0
9,1.2,0.6877690749362496,13.0
10,1.3,0.7120202309334365,14.0
11,1.4,0.7070866541680418,14.0
12,1.5,0.7313180042555805,14.0
13,2.0,0.12196621987962804,4.0
14,2.5,0.06269813242750576,4.0
15,3.0,0.07889286070226365,14.0
16,3.5,0.05149118555345729,0.0
