,alpha,performance,capacity
0,0.3,0.2127780703936928,9.0
1,0.5,0.2484236594498645,10.0
2,0.7,0.28039693989682196,11.0
3,0.8,0.308872919972832,11.0
4,0.9,0.3370448724394076,12.0
5,0.95,0.34173282780973974,12.0
6,1.0,0.36182077246174044,13.0
7,1.05,0.36575740552602193,13.0
8,1.1,0.3801836067253216,13.0
9,1.2,0.38866765610328624,14.0
10,1.3,0.403477241082001,15.0
11,1.4,0.4102660563065044,1.0
12,1.5,0.4105645013300752,1.0
13,2.0,0.0987134881550865,5.0
14,2.5,0.05802528886570992,3.0
15,3.0,0.04331090281721813,3.0
16,3.5,0.03985735891616142,3.0
