,alpha,performance,capacity
0,0.3,0.5808916282181623,9.0
1,0.5,0.6732902039572174,10.0
2,0.7,0.7622810174442248,11.0
3,0.8,0.7719894306156563,11.0
4,0.9,0.8565529205368796,11.0
5,0.95,0.8592533177334745,11.0
6,1.0,0.8630524297243876,11.0
7,1.05,0.8660911014131947,11.0
8,1.1,0.8780794362801531,11.0
9,1.2,0.9500555636143136,12.0
10,1.3,0.9556756128627167,12.0
11,1.4,1.016000803466264,13.0
12,1.5,1.0161270695942588,13.0
13,2.0,1.081812920066595,15.0
14,2.5,1.0941515425904493,13.0
15,3.0,0.5952195575107536,7.0
16,3.5,0.45281926003527395,7.0
