,alpha,performance,capacity
0,0.3,7.1717522601406065,9.0
1,0.5,8.329220484279695,10.0
2,0.7,10.215992513609645,12.0
3,0.8,10.486628690665254,12.0
4,0.9,11.556466915351248,12.0
5,0.95,11.599788883037515,12.0
6,1.0,12.408647554264432,13.0
7,1.05,12.486132188189297,13.0
8,1.1,12.51681188089601,13.0
9,1.2,13.097935068337428,14.0
10,1.3,13.76876764918659,15.0
11,1.4,13.990196185228672,1.0
12,1.5,13.991905320445435,1.0
13,2.0,4.286031707820185,6.0
14,2.5,2.9490328635447702,4.0
15,3.0,2.4866987434555736,4.0
16,3.5,2.320929492778263,4.0
