,alpha,performance,capacity
0,0.3,4.7194210961216845,6.0
1,0.5,5.997595716686584,6.0
2,0.7,6.53099931871467,6.0
3,0.8,6.84529404546911,7.0
4,0.9,6.954138371225714,6.0
5,0.95,6.697049703594011,6.0
6,1.0,4.714259622663951,6.0
7,1.05,2.2188944762157727,4.0
8,1.1,2.2158452111215774,4.0
9,1.2,1.4141067649383785,3.0
10,1.3,1.1166592682954004,0.0
11,1.4,0.8937274456909967,0.0
12,1.5,0.7523945167523018,0.0
13,2.0,0.4582245596800426,0.0
14,2.5,0.44537886663286236,0.0
15,3.0,0.4713054337532353,0.0
16,3.5,0.44433392490887613,0.0
