,alpha,performance,capacity
0,0.3,4.5469600338601595,6.0
1,0.5,4.834600954142069,5.0
2,0.7,5.324606504888153,5.0
3,0.8,5.752299049162402,5.0
4,0.9,6.127665498024374,5.0
5,0.95,5.9580435729665995,5.0
6,1.0,4.296554250620014,5.0
7,1.05,2.0463088698117966,4.0
8,1.1,1.261014902198778,3.0
9,1.2,1.1500813963014216,8.0
10,1.3,1.085229585880077,0.0
11,1.4,0.9823082414435051,0.0
12,1.5,0.849188945877001,0.0
13,2.0,0.5430995151704988,0.0
14,2.5,0.43278963993180963,0.0
15,3.0,0.3964384199634404,0.0
16,3.5,0.4039593989678951,0.0
