,alpha,performance,capacity
0,0.3,0.002140466279500719,7.0
1,0.5,0.00292163943615002,9.0
2,0.7,0.0033864611884084554,9.0
3,0.8,0.0034222375106328674,9.0
4,0.9,0.003618112714006142,10.0
5,0.95,0.0035820402947623828,10.0
6,1.0,0.00354512182798704,10.0
7,1.05,0.003508379594347498,10.0
8,1.1,0.003473357462208926,9.0
9,1.2,0.0034255520699308078,9.0
10,1.3,0.0015427580446211579,5.0
11,1.4,0.0012193291039342177,4.0
12,1.5,0.0011600519673724788,4.0
13,2.0,0.0007540005545464351,3.0
14,2.5,0.0001668327969654507,0.0
15,3.0,0.00010377755242761441,0.0
16,3.5,9.770131136151419e-05,0.0
