,alpha,performance,capacity
0,0.3,0.002111685480498811,8.0
1,0.5,0.002572455694319704,9.0
2,0.7,0.003119067264972776,10.0
3,0.8,0.0030622861209259186,10.0
4,0.9,0.0031627141926745318,10.0
5,0.95,0.003151229237143738,10.0
6,1.0,0.003131251275537806,10.0
7,1.05,0.001481988708714801,6.0
8,1.1,0.00136036098334358,4.0
9,1.2,0.0008552548928854448,4.0
10,1.3,0.0007436011724511848,3.0
11,1.4,0.0006812533095979147,3.0
12,1.5,0.0005956457743048774,3.0
13,2.0,0.0003422650436238497,0.0
14,2.5,0.00015929035776486404,0.0
15,3.0,8.102873613347283e-05,0.0
16,3.5,9.081120488394611e-05,0.0
