,alpha,performance,capacity
0,0.3,0.0012823345733864123,8.0
1,0.5,0.0017202795408640724,9.0
2,0.7,0.0019497412513102333,9.0
3,0.8,0.002032358667393168,10.0
4,0.9,0.002219688253722384,11.0
5,0.95,0.002211932212320845,11.0
6,1.0,0.0021835339866969096,11.0
7,1.05,0.0021275585275466373,11.0
8,1.1,0.0019856761517876155,11.0
9,1.2,0.0006365624383661246,5.0
10,1.3,0.0006067512468416491,4.0
11,1.4,0.0005366858423758845,4.0
12,1.5,0.0004237689926632192,3.0
13,2.0,0.00034628040546373336,3.0
14,2.5,0.00028000475903308593,3.0
15,3.0,0.0001710642122823998,0.0
16,3.5,9.122771162860102e-05,0.0
