,alpha,performance,capacity
0,0.3,0.00192037738034282,3.0
1,0.5,0.002071740113528767,4.0
2,0.7,0.002288443841307374,4.0
3,0.8,0.0024854239856554093,5.0
4,0.9,0.002711813943490208,4.0
5,0.95,0.0027973680154102258,4.0
6,1.0,0.0028072046954282495,4.0
7,1.05,0.0026251752420168506,0.0
8,1.1,0.001791495745464607,0.0
9,1.2,1.8450007720117597e-05,0.0
10,1.3,0.00043331315332556953,0.0
11,1.4,8.953874738413849e-05,0.0
12,1.5,0.00010478354974370035,0.0
13,2.0,5.337236481120499e-05,0.0
14,2.5,0.00011393562294639172,0.0
15,3.0,0.0001544159997680417,0.0
16,3.5,0.0001846138084762807,0.0
