,alpha,performance,capacity
0,0.3,0.0017466847328209097,3.0
1,0.5,0.0020273606398555186,3.0
2,0.7,0.002390732566038764,0.0
3,0.8,0.002597452139969676,0.0
4,0.9,0.002858310547743522,0.0
5,0.95,0.002961987020620261,0.0
6,1.0,0.0029985272560985117,0.0
7,1.05,0.002869130970446094,0.0
8,1.1,0.0022429503627362474,0.0
9,1.2,0.0001690452488161315,0.0
10,1.3,0.0003127954995304444,0.0
11,1.4,0.00022403682830996602,0.0
12,1.5,0.00020940893698226487,0.0
13,2.0,0.000338181938880286,0.0
14,2.5,0.00035726486277627657,0.0
15,3.0,0.0003632210759968368,0.0
16,3.5,0.0003478433317504167,0.0
