,alpha,performance,capacity
0,0.3,0.0015210398807087924,4.0
1,0.5,0.0016097165519929218,4.0
2,0.7,0.0017236039817169928,3.0
3,0.8,0.0017856984549586862,3.0
4,0.9,0.0018612478047254687,3.0
5,0.95,0.0019019553105915122,3.0
6,1.0,0.0019294261612846557,3.0
7,1.05,0.002038128703946768,3.0
8,1.1,0.0020950261604168003,3.0
9,1.2,5.122032939043334e-05,0.0
10,1.3,0.0001108208881414671,0.0
11,1.4,5.526633899857635e-05,0.0
12,1.5,0.00023285163148950772,0.0
13,2.0,0.00018422167972825053,0.0
14,2.5,0.00021947881963642525,0.0
15,3.0,0.00019820398520649054,0.0
16,3.5,0.00016943100494337226,0.0
