,alpha,performance,capacity
0,0.3,0.0006172581406747359,4.0
1,0.5,0.000669880444224624,3.0
2,0.7,0.0007210956408670136,4.0
3,0.8,0.0007500769480916537,4.0
4,0.9,0.0007863509893058399,4.0
5,0.95,0.0008045070922776114,4.0
6,1.0,0.0008259431148765409,4.0
7,1.05,0.0008508392497720149,4.0
8,1.1,0.0008777832056810373,4.0
9,1.2,0.0009605600045531279,4.0
10,1.3,0.00103028337059171,4.0
11,1.4,0.0010512474209490707,5.0
12,1.5,0.0007464986500088362,3.0
13,2.0,0.00014228653139711475,0.0
14,2.5,8.841586301907348e-05,0.0
15,3.0,6.537878113310982e-05,0.0
16,3.5,5.3632612786291135e-05,0.0
