,alpha,performance,capacity
0,0.3,0.0007399341944033022,4.0
1,0.5,0.000755586608681367,4.0
2,0.7,0.0007982114245193343,4.0
3,0.8,0.0008335120410851162,4.0
4,0.9,0.0008727323103963799,4.0
5,0.95,0.0008910528506092454,4.0
6,1.0,0.0009159405625108984,4.0
7,1.05,0.000939164171657288,4.0
8,1.1,0.0009682445106456715,0.0
9,1.2,0.0010270704119563472,0.0
10,1.3,0.0010843401878077796,0.0
11,1.4,0.0012126804129279276,0.0
12,1.5,0.0012319529436793809,0.0
13,2.0,1.5324469088573213e-05,0.0
14,2.5,6.316877780295537e-05,0.0
15,3.0,7.000667835978755e-05,0.0
16,3.5,5.6135782088359925e-05,0.0
