,alpha,performance,capacity
0,0.3,7.276416954791272,9.0
1,0.5,8.315127982019476,10.0
2,0.7,10.53161301076095,11.0
3,0.8,10.735410116888216,11.0
4,0.9,11.718171412615362,12.0
5,0.95,11.803864310828393,12.0
6,1.0,11.848637934388973,12.0
7,1.05,12.496334702280906,13.0
8,1.1,12.500362910271617,13.0
9,1.2,12.454235123929163,13.0
10,1.3,12.922349000589685,14.0
11,1.4,12.820654104038816,14.0
12,1.5,13.261396645262264,14.0
13,2.0,2.22627075754976,4.0
14,2.5,1.3532024682566404,12.0
15,3.0,1.4615141928059128,9.0
16,3.5,1.2416898484788588,0.0
