,alpha,performance,capacity
0,0.3,0.40231126585221494,9.0
1,0.5,0.4597413376602454,10.0
2,0.7,0.5822902381968343,11.0
3,0.8,0.5935581290079968,11.0
4,0.9,0.6478947542139245,12.0
5,0.95,0.6526326930331023,12.0
6,1.0,0.6551082154342186,12.0
7,1.05,0.6909192070524781,13.0
8,1.1,0.6911419256605413,13.0
9,1.2,0.688591531939333,13.0
10,1.3,0.714473430606269,14.0
11,1.4,0.7088507453181272,14.0
12,1.5,0.7332192897234573,14.0
13,2.0,0.12308995102457067,4.0
14,2.5,0.07481822459338262,12.0
15,3.0,0.0808067526396433,9.0
16,3.5,0.06865271985388918,0.0
