,alpha,performance,capacity
0,0.3,0.001865715207263291,3.0
1,0.5,0.0020243606110585746,4.0
2,0.7,0.00223600714307389,4.0
3,0.8,0.0024688425072304956,5.0
4,0.9,0.002684334853905805,4.0
5,0.95,0.0027627793954535995,4.0
6,1.0,0.0027665423907880736,4.0
7,1.05,0.002583099227937199,0.0
8,1.1,0.0017724086136478563,0.0
9,1.2,0.0002139597913015364,0.0
10,1.3,0.0001970545867580505,0.0
11,1.4,0.000128190547841308,0.0
12,1.5,9.37564488788928e-05,0.0
13,2.0,0.00037230909321933777,0.0
14,2.5,0.00038570540864809585,0.0
15,3.0,0.00037439994821793525,0.0
16,3.5,0.0003121041811916435,0.0
