,alpha,performance,capacity
0,0.3,6.633683367380646,7.0
1,0.5,8.886930105479681,9.0
2,0.7,10.33478240991448,9.0
3,0.8,10.499570204357788,9.0
4,0.9,11.031362458894563,10.0
5,0.95,10.93317595911938,10.0
6,1.0,10.85417085116743,10.0
7,1.05,10.740291967578585,10.0
8,1.1,10.64624055311194,10.0
9,1.2,10.531028109554732,9.0
10,1.3,7.43856807406115,6.0
11,1.4,6.093268228629765,6.0
12,1.5,5.660822546969934,6.0
13,2.0,3.411324889466474,4.0
14,2.5,0.786866658390072,0.0
15,3.0,0.4438254554470566,0.0
16,3.5,0.3644381399734909,0.0
