,alpha,performance,capacity
0,0.3,0.002162278646805291,7.0
1,0.5,0.002624280134248884,8.0
2,0.7,0.0031614420450009955,8.0
3,0.8,0.0032621550077109145,8.0
4,0.9,0.003314766250153178,8.0
5,0.95,0.0033146192383317927,8.0
6,1.0,0.0033865810140419643,8.0
7,1.05,0.003356807923209861,8.0
8,1.1,0.0033176357282466975,8.0
9,1.2,0.003137616295062992,8.0
10,1.3,0.0026335034867828377,7.0
11,1.4,0.0023187840675572215,6.0
12,1.5,0.0018818180613321357,5.0
13,2.0,0.0012035604413783328,4.0
14,2.5,0.0001678772163178405,0.0
15,3.0,0.0002452464301981728,0.0
16,3.5,0.000136115306140951,0.0
