,alpha,performance,capacity
0,0.3,2.919405047192021,3.0
1,0.5,3.1667822561779144,4.0
2,0.7,3.4958888045253134,4.0
3,0.8,3.858352031429972,5.0
4,0.9,4.1950190708391535,4.0
5,0.95,4.319681129496456,4.0
6,1.0,4.333957266205317,4.0
7,1.05,4.083603495993562,0.0
8,1.1,3.2210741537957532,0.0
9,1.2,2.423464405427539,0.0
10,1.3,2.090414950369091,0.0
11,1.4,1.3710876892747488,0.0
12,1.5,0.8421774691975102,0.0
13,2.0,0.3723126906516573,0.0
14,2.5,0.34003490053284413,0.0
15,3.0,0.2668052898962409,0.0
16,3.5,0.20748508595577256,0.0
