,alpha,performance,capacity
0,0.3,0.3261484798499985,7.0
1,0.5,0.41787194846128495,9.0
2,0.7,0.4875908757428994,10.0
3,0.8,0.5304076649847541,10.0
4,0.9,0.5432602409250941,11.0
5,0.95,0.588022594918429,11.0
6,1.0,0.590942309901392,11.0
7,1.05,0.5946414524535297,11.0
8,1.1,0.6105965675455199,11.0
9,1.2,0.4984945527081971,6.0
10,1.3,0.4722624921224657,10.0
11,1.4,0.5490264889273537,2.0
12,1.5,0.5904934637985955,5.0
13,2.0,0.4799768989676011,2.0
14,2.5,0.3139075015572758,0.0
15,3.0,0.14149148825882438,0.0
16,3.5,0.04585668042850349,0.0
