,alpha,performance,capacity
0,0.3,0.0016552385938992111,0.0
1,0.5,0.0017582193015455907,0.0
2,0.7,0.0018559035677108238,0.0
3,0.8,0.0019169259886600853,0.0
4,0.9,0.0019490091331157296,0.0
5,0.95,0.0020078969131351473,0.0
6,1.0,0.00205961429348448,0.0
7,1.05,0.002146270134098066,0.0
8,1.1,0.0022306327534862163,0.0
9,1.2,0.0023763917398163313,0.0
10,1.3,0.0024745828113417593,0.0
11,1.4,0.0024923428326074073,0.0
12,1.5,0.002400266142571018,0.0
13,2.0,0.0016784842434250907,0.0
14,2.5,0.0017198892555216768,0.0
15,3.0,0.0014788288870366227,0.0
16,3.5,0.0011937128750580393,0.0
