,alpha,performance,capacity
0,0.3,6.8351276575158,8.0
1,0.5,8.298152011018283,10.0
2,0.7,9.819187592694336,10.0
3,0.8,10.58540847751711,11.0
4,0.9,10.811147633746948,11.0
5,0.95,11.690807667285403,12.0
6,1.0,11.749679734420864,12.0
7,1.05,11.775016720325375,12.0
8,1.1,10.339308283387293,11.0
9,1.2,10.659260256884492,10.0
10,1.3,10.414553704146481,12.0
11,1.4,10.684685754164763,12.0
12,1.5,11.105057155087298,11.0
13,2.0,10.304362858946785,10.0
14,2.5,6.631505757699082,5.0
15,3.0,2.488912857086217,0.0
16,3.5,0.6770933696192091,0.0
