,alpha,performance,capacity
0,0.3,6.414869975642286,7.0
1,0.5,7.255088984827924,7.0
2,0.7,7.964404757961719,7.0
3,0.8,8.291118236478136,7.0
4,0.9,8.59499344045504,7.0
5,0.95,8.700641390912887,7.0
6,1.0,8.751285216807712,7.0
7,1.05,8.7358133592913,7.0
8,1.1,8.642821157126802,7.0
9,1.2,8.114515453048986,7.0
10,1.3,7.24637810552822,6.0
11,1.4,6.5202095625279215,5.0
12,1.5,6.67592690816969,6.0
13,2.0,3.2957701681381515,4.0
14,2.5,0.8807430067614113,0.0
15,3.0,0.3902926900621485,0.0
16,3.5,0.23653298147799778,0.0
