,alpha,performance,capacity
0,0.3,0.002101492652916443,7.0
1,0.5,0.0023767459443079903,7.0
2,0.7,0.0026091157182080715,7.0
3,0.8,0.0027161460987641917,7.0
4,0.9,0.0028156947273390073,7.0
5,0.95,0.002850304687092808,7.0
6,1.0,0.002866895456420584,7.0
7,1.05,0.002861826921123505,7.0
8,1.1,0.002831362947516987,7.0
9,1.2,0.002658291543134825,7.0
10,1.3,0.0023738922857119036,6.0
11,1.4,0.002136001593665356,5.0
12,1.5,0.0021870141409251406,6.0
13,2.0,0.001079684673320296,4.0
14,2.5,0.0002885288345429519,0.0
15,3.0,0.00012785874441211535,0.0
16,3.5,7.748751333009901e-05,0.0
