,alpha,performance,capacity
0,0.3,2.88694454374064,3.0
1,0.5,3.0965143686608227,0.0
2,0.7,3.319526473510807,4.0
3,0.8,3.5180543308112897,4.0
4,0.9,3.8437727267325243,5.0
5,0.95,3.985584230902636,5.0
6,1.0,4.114974887888148,4.0
7,1.05,4.209098149296466,4.0
8,1.1,4.238191088195264,0.0
9,1.2,3.9655508554921153,0.0
10,1.3,3.1705699657173994,0.0
11,1.4,2.385503020392802,0.0
12,1.5,2.2014293008654695,0.0
13,2.0,0.8935550852217528,0.0
14,2.5,0.4538935283574199,0.0
15,3.0,0.2471082432106962,0.0
16,3.5,0.20500927239426958,0.0
