,alpha,performance,capacity
0,0.3,0.5828634321914448,9.0
1,0.5,0.6724142701535936,10.0
2,0.7,0.7604066857436345,11.0
3,0.8,0.7674092347318904,11.0
4,0.9,0.8503990266135153,11.0
5,0.95,0.8582217050869833,11.0
6,1.0,0.8596844083131254,11.0
7,1.05,0.8646534058090722,11.0
8,1.1,0.864887193591237,11.0
9,1.2,0.947109502802096,12.0
10,1.3,0.9533225063980625,12.0
11,1.4,1.0160217488540983,13.0
12,1.5,1.0162461567567214,13.0
13,2.0,1.081442268920352,15.0
14,2.5,1.1025033089929424,15.0
15,3.0,0.5637379211527767,7.0
16,3.5,0.45973240608131066,7.0
