,alpha,performance,capacity
0,0.3,7.547584032195205,8.0
1,0.5,9.148994262925,9.0
2,0.7,11.166456697569515,10.0
3,0.8,11.382785101767283,11.0
4,0.9,11.327672896827401,10.0
5,0.95,11.268793786604997,10.0
6,1.0,11.194573881010658,10.0
7,1.05,5.161680100351958,6.0
8,1.1,4.634717355962981,4.0
9,1.2,2.8505721305702694,3.0
10,1.3,2.6392217612732987,3.0
11,1.4,2.472021865669745,3.0
12,1.5,2.0309682388086787,3.0
13,2.0,1.1975620232737438,0.0
14,2.5,0.6150968421682534,0.0
15,3.0,0.2863938357379234,0.0
16,3.5,0.35089203913699757,0.0
