,alpha,performance,capacity
0,0.3,2.717519223757342,3.0
1,0.5,3.0971831428580825,3.0
2,0.7,3.5509413963152237,0.0
3,0.8,3.904382299284778,0.0
4,0.9,4.2980010751873685,0.0
5,0.95,4.445947118842911,0.0
6,1.0,4.496382334694267,0.0
7,1.05,4.303508490826441,0.0
8,1.1,3.3873831163548798,0.0
9,1.2,0.5343719232648604,0.0
10,1.3,0.22109506309715243,0.0
11,1.4,0.19476229500288114,0.0
12,1.5,0.1432765475841329,0.0
13,2.0,0.5693971470349496,0.0
14,2.5,0.6144651551750853,0.0
15,3.0,0.5900674760099212,0.0
16,3.5,0.5142924125184255,0.0
