,alpha,performance,capacity
0,0.3,7.213200580306139,9.0
1,0.5,8.3027108890609,10.0
2,0.7,9.360718427744514,11.0
3,0.8,9.515430294310512,11.0
4,0.9,10.552245551822782,11.0
5,0.95,10.573848723968485,11.0
6,1.0,10.635218967934378,11.0
7,1.05,10.680992730032639,11.0
8,1.1,10.87912664346507,12.0
9,1.2,11.736078199405016,12.0
10,1.3,11.778567254436751,12.0
11,1.4,12.593910594635998,13.0
12,1.5,12.590003073250355,13.0
13,2.0,13.170660563245864,14.0
14,2.5,12.627591492652149,15.0
15,3.0,10.021066044154042,11.0
16,3.5,7.071710334377171,8.0
