,alpha,performance,capacity
0,0.3,0.002100578225774985,8.0
1,0.5,0.0025477934562367997,9.0
2,0.7,0.0031082344561905568,10.0
3,0.8,0.0031731260258103643,11.0
4,0.9,0.003161942942948811,11.0
5,0.95,0.003155363503585226,10.0
6,1.0,0.0031361893260711277,10.0
7,1.05,0.0020822021254734116,7.0
8,1.1,0.0019761665019851944,7.0
9,1.2,0.0016431454524976662,6.0
10,1.3,0.0013918103756054142,5.0
11,1.4,0.0012886367192331404,6.0
12,1.5,0.0011262033604665287,5.0
13,2.0,0.0007230427107615883,4.0
14,2.5,0.00013857803168617933,0.0
15,3.0,0.00013967609962896557,0.0
16,3.5,8.911074519498935e-05,0.0
