,alpha,performance,capacity
0,0.3,0.0017521474506813077,3.0
1,0.5,0.001996613524376926,3.0
2,0.7,0.0022884789535278782,0.0
3,0.8,0.002514588630018052,0.0
4,0.9,0.0027669394455820916,0.0
5,0.95,0.002863158429002767,0.0
6,1.0,0.002900899553358156,0.0
7,1.05,0.0028011113050188073,0.0
8,1.1,0.0023990452691969055,0.0
9,1.2,0.0015854300072102414,0.0
10,1.3,0.00149837110815704,0.0
11,1.4,0.0013080120563829984,0.0
12,1.5,0.0011279905197695836,0.0
13,2.0,0.0006077347556624426,0.0
14,2.5,0.0004385299394135603,0.0
15,3.0,0.00024629606584799444,0.0
16,3.5,0.00018111410610586822,0.0
