,alpha,performance,capacity
0,0.3,0.5124055270862219,8.0
1,0.5,0.5452561158558594,6.0
2,0.7,0.5961968913553822,9.0
3,0.8,0.6496799401992737,9.0
4,0.9,0.6793811765294695,6.0
5,0.95,0.6843138821497479,10.0
6,1.0,0.6859757798332288,8.0
7,1.05,0.696498590877217,9.0
8,1.1,0.708998190916177,8.0
9,1.2,0.7162935914195073,8.0
10,1.3,0.7246964075821406,8.0
11,1.4,0.7552130667128755,9.0
12,1.5,0.7694883305715605,9.0
13,2.0,0.8142359045787414,8.0
14,2.5,0.8216982931514003,7.0
15,3.0,0.7849234498844,8.0
16,3.5,0.7266294068400807,7.0
