,alpha,performance,capacity
0,0.3,2.3539234474276,0.0
1,0.5,2.6268328023349072,0.0
2,0.7,2.9498266581726464,0.0
3,0.8,3.0625857539883,0.0
4,0.9,3.1781046186666817,0.0
5,0.95,3.2224032174707227,0.0
6,1.0,3.343526058386099,0.0
7,1.05,3.427685811609755,0.0
8,1.1,3.540739749509834,0.0
9,1.2,3.7401718666231067,0.0
10,1.3,3.8934549738281254,0.0
11,1.4,3.995683923905564,0.0
12,1.5,4.041852809188872,0.0
13,2.0,3.3130911079941976,0.0
14,2.5,2.1662978698893385,0.0
15,3.0,2.5072425868830135,0.0
16,3.5,2.251844120790257,0.0
