,alpha,performance,capacity
0,0.3,6.955383616605928,8.0
1,0.5,7.325472015865858,9.0
2,0.7,8.258080797968569,10.0
3,0.8,8.863498754522341,10.0
4,0.9,9.222436533882565,10.0
5,0.95,9.15764618169183,10.0
6,1.0,9.315710704350609,10.0
7,1.05,9.413968661535336,11.0
8,1.1,9.687687908604476,11.0
9,1.2,9.898565982990782,11.0
10,1.3,10.128639055031135,11.0
11,1.4,10.20630357854623,11.0
12,1.5,10.597405640767835,11.0
13,2.0,11.120778772362902,11.0
14,2.5,11.247740073685554,11.0
15,3.0,10.549940261081858,10.0
16,3.5,9.746341034035556,9.0
