,alpha,performance,capacity
0,0.3,7.127760235033086,8.0
1,0.5,7.953995505139789,8.0
2,0.7,8.751976842860453,8.0
3,0.8,9.147729254015925,8.0
4,0.9,9.198857024653652,8.0
5,0.95,9.015981778669747,8.0
6,1.0,8.632478555664786,8.0
7,1.05,8.015591426768518,7.0
8,1.1,8.094162031059781,7.0
9,1.2,6.858896618323571,7.0
10,1.3,6.042041885088374,6.0
11,1.4,5.334102108389083,6.0
12,1.5,4.772835245482021,5.0
13,2.0,0.3402019566710832,0.0
14,2.5,0.23932376962754362,0.0
15,3.0,0.2613518007815015,0.0
16,3.5,0.3180542571077685,0.0
