,alpha,performance,capacity
0,0.3,0.001985666575212471,8.0
1,0.5,0.0022158409504739744,8.0
2,0.7,0.00243814428528135,8.0
3,0.8,0.0025483938319802953,8.0
4,0.9,0.0025626371148451533,8.0
5,0.95,0.002511691340659427,8.0
6,1.0,0.0024048541987948097,8.0
7,1.05,0.0022330004730609474,7.0
8,1.1,0.0022548888387734453,7.0
9,1.2,0.0019107659781964798,7.0
10,1.3,0.00168320485280718,6.0
11,1.4,0.0014859854871857102,6.0
12,1.5,0.00132962657320721,5.0
13,2.0,9.477418318077244e-05,0.0
14,2.5,6.667132371646857e-05,0.0
15,3.0,7.280793939065589e-05,0.0
16,3.5,8.860423002710584e-05,0.0
