,alpha,performance,capacity
0,0.3,0.0017452184258062648,3.0
1,0.5,0.0019518179241996305,3.0
2,0.7,0.0021918719067808585,0.0
3,0.8,0.0023159581350724184,0.0
4,0.9,0.0025170466470579847,0.0
5,0.95,0.0026101159157022147,0.0
6,1.0,0.002704163528732842,0.0
7,1.05,0.0027758549891424267,0.0
8,1.1,0.0028201555241266683,0.0
9,1.2,0.0027858596217149754,0.0
10,1.3,0.002534597638685295,0.0
11,1.4,0.002146718276869925,0.0
12,1.5,0.0015924705236640025,0.0
13,2.0,0.0010663230003237693,0.0
14,2.5,0.001033222700548079,0.0
15,3.0,0.0007814341144659823,0.0
16,3.5,0.0004582464054347848,0.0
