,alpha,performance,capacity
0,0.3,7.206882028353664,9.0
1,0.5,8.24508384296922,10.0
2,0.7,10.345797441320261,12.0
3,0.8,10.42453160790066,12.0
4,0.9,11.505687406855959,12.0
5,0.95,11.549836426172323,12.0
6,1.0,12.410829082360003,13.0
7,1.05,12.471843007479896,13.0
8,1.1,12.507885444445721,13.0
9,1.2,13.187487412153766,14.0
10,1.3,13.766709436776281,15.0
11,1.4,13.997336254222876,1.0
12,1.5,14.011940398664077,1.0
13,2.0,4.108391269326356,6.0
14,2.5,3.378057895231402,5.0
15,3.0,3.0197788609103444,4.0
16,3.5,2.476758851739202,4.0
