,alpha,performance,capacity
0,0.3,0.22561863990282338,9.0
1,0.5,0.26047106874113923,10.0
2,0.7,0.29441756805583996,11.0
3,0.8,0.32597090762011843,12.0
4,0.9,0.3557333071712762,13.0
5,0.95,0.35745322302028665,13.0
6,1.0,0.35883799269259775,13.0
7,1.05,0.3854776960343461,14.0
8,1.1,0.3894249241217872,14.0
9,1.2,0.3913032399550484,14.0
10,1.3,0.41816911059528383,14.0
11,1.4,0.4387192167051977,15.0
12,1.5,0.44186635400744095,1.0
13,2.0,0.16756053705225443,7.0
14,2.5,0.10873174981176967,5.0
15,3.0,0.08996253858990737,4.0
16,3.5,0.07944077294078107,4.0
