,alpha,performance,capacity
0,0.3,0.001345562391900662,8.0
1,0.5,0.0016124020162502739,9.0
2,0.7,0.0020733303588238053,10.0
3,0.8,0.002121237704512897,10.0
4,0.9,0.002149712797404552,10.0
5,0.95,0.002274545483214784,11.0
6,1.0,0.002295880000314304,11.0
7,1.05,0.0022538548618234,11.0
8,1.1,0.0021811795061587964,11.0
9,1.2,0.000677228050804192,5.0
10,1.3,0.00045158708253579253,4.0
11,1.4,0.000448526053024195,13.0
12,1.5,0.00046203902686127094,3.0
13,2.0,0.0002964554178981217,3.0
14,2.5,0.00014428824342960193,0.0
15,3.0,3.658696226406592e-05,0.0
16,3.5,5.748323720954906e-05,0.0
