,alpha,performance,capacity
0,0.3,6.3141253415131064,8.0
1,0.5,7.548084339931611,9.0
2,0.7,8.788066584396942,9.0
3,0.8,9.396680536937383,9.0
4,0.9,9.708626189416723,9.0
5,0.95,9.794175124515219,9.0
6,1.0,9.77245248020889,9.0
7,1.05,9.574708802123354,9.0
8,1.1,9.011764072464716,9.0
9,1.2,7.550155454272436,8.0
10,1.3,5.890996686800617,6.0
11,1.4,4.856130384578268,6.0
12,1.5,4.533192085379825,6.0
13,2.0,3.317205695411806,4.0
14,2.5,2.203556261916171,3.0
15,3.0,0.859811270336956,0.0
16,3.5,1.4162447528492736,0.0
