,alpha,performance,capacity
0,0.3,2.3493576655864095,4.0
1,0.5,2.522146569231807,4.0
2,0.7,2.704938285602888,3.0
3,0.8,2.873482820080864,3.0
4,0.9,3.0648143980365026,3.0
5,0.95,3.192354300235921,3.0
6,1.0,3.261781087456048,0.0
7,1.05,3.429442655832176,0.0
8,1.1,3.6241872780418527,0.0
9,1.2,4.033070775839543,0.0
10,1.3,4.2211383909164,0.0
11,1.4,2.79466566644439,0.0
12,1.5,2.2196083186092195,0.0
13,2.0,0.8587589912109699,0.0
14,2.5,0.41863485187592125,0.0
15,3.0,0.31087077948621994,0.0
16,3.5,0.33210211617429947,0.0
