,alpha,performance,capacity
0,0.3,0.0005221910544939502,4.0
1,0.5,0.0005598178311620556,3.0
2,0.7,0.0006057470895776501,3.0
3,0.8,0.0006364807913768624,0.0
4,0.9,0.0006764340600265269,0.0
5,0.95,0.0007039956491027985,0.0
6,1.0,0.0007433505078313087,0.0
7,1.05,0.0007867546796914392,0.0
8,1.1,0.0008268501334032792,0.0
9,1.2,0.0008827515982854212,0.0
10,1.3,0.0007397902579373219,0.0
11,1.4,0.00033165132606898163,0.0
12,1.5,0.00031685720942984926,0.0
13,2.0,0.0001730694334602177,0.0
14,2.5,0.00010012913299864167,0.0
15,3.0,6.777760269414424e-05,0.0
16,3.5,6.644997365356191e-05,0.0
