,alpha,performance,capacity
0,0.3,6.54054403932609,9.0
1,0.5,8.2687752914984,9.0
2,0.7,9.176848982590908,6.0
3,0.8,9.786461981340246,11.0
4,0.9,10.194845696099248,9.0
5,0.95,10.724974590071493,11.0
6,1.0,10.813373835114612,7.0
7,1.05,11.16675743368988,9.0
8,1.1,11.330778473109948,10.0
9,1.2,11.674077539556754,10.0
10,1.3,11.518523650401752,11.0
11,1.4,11.425727368535204,11.0
12,1.5,11.775369132680265,11.0
13,2.0,5.731196756607038,0.0
14,2.5,0.7461233863671491,0.0
15,3.0,0.2421975989019158,0.0
16,3.5,0.26629069894931884,0.0
