,alpha,performance,capacity
0,0.3,0.20237223211692368,8.0
1,0.5,0.2389331794805381,9.0
2,0.7,0.24701135775808453,6.0
3,0.8,0.28511061754649525,10.0
4,0.9,0.31247286027785476,11.0
5,0.95,0.3147865116651174,6.0
6,1.0,0.32615859259472274,10.0
7,1.05,0.3268236726090302,10.0
8,1.1,0.3378068016082221,8.0
9,1.2,0.35536655974413667,7.0
10,1.3,0.3524077349356378,10.0
11,1.4,0.3837631872913618,7.0
12,1.5,0.38912490241082254,8.0
13,2.0,0.3078687864086107,7.0
14,2.5,0.09895316262829361,0.0
15,3.0,0.01731053081656603,0.0
16,3.5,0.009725167759498086,0.0
