,alpha,performance,capacity
0,0.3,2.0895643383638958,0.0
1,0.5,2.2018592054825445,0.0
2,0.7,2.369276539644041,0.0
3,0.8,2.481149257639175,0.0
4,0.9,2.6038827083147096,0.0
5,0.95,2.6615661317219006,0.0
6,1.0,2.7054469829686907,0.0
7,1.05,2.743713839709893,0.0
8,1.1,2.8053311744712834,0.0
9,1.2,3.0081536835506504,0.0
10,1.3,3.193369981543127,0.0
11,1.4,3.430872241910369,0.0
12,1.5,3.664824197196137,0.0
13,2.0,3.3746950898055212,0.0
14,2.5,1.7757131113225562,0.0
15,3.0,1.606134152614444,0.0
16,3.5,1.1823865125978616,0.0
