,alpha,performance,capacity
0,0.3,6.222753643084684,8.0
1,0.5,6.486257796912884,8.0
2,0.7,6.848207740057577,7.0
3,0.8,7.08704389081257,7.0
4,0.9,7.37184709968737,7.0
5,0.95,7.503564670341354,7.0
6,1.0,7.585743141053233,7.0
7,1.05,7.552755064224707,7.0
8,1.1,7.283069010190084,7.0
9,1.2,6.403332542230924,7.0
10,1.3,5.826059424029203,6.0
11,1.4,5.45305800113441,5.0
12,1.5,4.988445276937897,5.0
13,2.0,2.618545424457041,4.0
14,2.5,0.5986482339431596,0.0
15,3.0,0.40276878440219865,0.0
16,3.5,0.2614621639122163,0.0
