,alpha,performance,capacity
0,0.3,0.0012924041075800953,7.0
1,0.5,0.0013598661222391686,8.0
2,0.7,0.0014562601076470736,7.0
3,0.8,0.0015133636195527648,7.0
4,0.9,0.0015902004397037313,7.0
5,0.95,0.0016265139772872494,7.0
6,1.0,0.0016491833755700558,7.0
7,1.05,0.0016425603642974591,7.0
8,1.1,0.0015848430040457015,7.0
9,1.2,0.0013547242974260684,7.0
10,1.3,0.0012937231035425277,6.0
11,1.4,0.0011224338261392108,5.0
12,1.5,0.0010518547546215957,5.0
13,2.0,0.000512975477017337,4.0
14,2.5,0.0002571189427060478,0.0
15,3.0,0.00010543924369505261,0.0
16,3.5,6.666691312053416e-05,0.0
