,alpha,performance,capacity
0,0.3,0.0004666082116288124,4.0
1,0.5,0.00048433949704204736,4.0
2,0.7,0.000514948111081554,4.0
3,0.8,0.0005380615900079669,4.0
4,0.9,0.0005649211302197383,4.0
5,0.95,0.0005870136162515485,4.0
6,1.0,0.0006126498338233241,3.0
7,1.05,0.000645450052230216,3.0
8,1.1,0.0006817037502885871,3.0
9,1.2,0.0007694205847651126,3.0
10,1.3,0.0008186090444166499,0.0
11,1.4,0.000682559980298528,0.0
12,1.5,0.00041508200589481745,0.0
13,2.0,0.000181220171205896,0.0
14,2.5,8.48457154463613e-05,0.0
15,3.0,6.943525785070425e-05,0.0
16,3.5,6.020948298741031e-05,0.0
